tenure,deposit,turnover,withdrawal,deposit_next
7,44.8,120.59,46.14,0
6443,755183.43,3355044.91,581744.6,4354.77
589,5626.89,64938.82,2124.73,5510.01
175,278.76,488.07,0,364.08
4024,17319.05,124407.19,6197.55,3278.45
44,374.51,2547.74,512.22,57.63
1168,8219.17,20252.13,7159.71,139.26
2439,14493.35,84728.43,6953.97,0
0,93.82,98.04,0,94.37
3600,15125.31,321289.99,7947.02,204.67
501,5523.34,32804.13,5924.95,1138.66
2833,6172.58,58934.19,4736.35,93.81
331,505.56,1206.36,0,583.4
1370,8377.08,175561.41,11649.87,3768.17
7088,119418.74,749669.03,83844.76,2370.18
231,8610.83,86419.31,4233.6,1498.35
820,2020.37,20936.24,0,0
1930,187.52,3297.11,0,3782.44
3048,16374.81,136912.64,3758.79,0
1794,1029.24,5322.92,368.96,0
3887,31579.07,271126.32,24325.91,2332.73
15,259.18,4822.97,342.75,47.57
4656,39144.3,465596.08,23885.75,1410.67
351,1108.68,8399.55,154.71,188.47
1794,359.05,475.64,0,47.39
3089,1451.37,8734.33,570.21,0
747,172.44,369.9,0,0
533,2190.96,22085.95,5951.48,665.24
148,388.12,1444.46,231.07,325.48
1697,3122.94,6097.84,3837.33,821.24
1217,5339.09,54555.54,3453.39,275.9
2587,261.89,628.01,116.68,0
1692,8511.62,51764.68,6188.45,44.61
876,2914.69,3937.89,3057.16,37.47
32,583.01,2152.65,462.11,1227.03
5766,4816.36,26315.85,922.53,0
3296,25936.51,121295.15,38291.37,466.49
7524,2949.07,6626.54,3349.41,23.83
107,1838.85,3680.88,1153.97,322.56
942,3053.43,7528.65,1516.42,144.45
0,45.95,408.65,0,107.24
5185,5481.5,29783.16,4445.81,141.33
4445,9932.27,45420.24,6560.85,68.91
5204,15110.95,221997.6,13303.34,140.42
876,725.15,2859.04,319.31,0
1950,75661.48,240340.23,65756.58,11842.29
5540,86384.44,495138.5,263330.6,2866.1
7280,3456.57,26300.85,366.63,243.44
4372,3574.46,34528.9,2466.9,117.54
2510,462.94,3296.38,273.35,633.97
4481,5443.97,34105.73,781.17,112.1
5942,9411.88,29698.43,6572.46,0
0,1829.43,690.35,0,0
884,793.18,4577.03,258.77,0
2342,15520.32,73421.86,6348.52,820.94
4742,20350.01,45655.68,15979.97,320.97
190,2243.66,12597.51,1376.91,44.76
2687,6614.18,63727.71,1154.19,0
2,155.22,0,155.22,1037.47
531,4782.73,24121.49,2760.84,1050.27
1222,2705.8,6643.76,2264.86,1122.36
153,57.28,57.26,0,0
5513,2050.01,20129.02,253.99,0
3800,2930.89,14880.41,4459.45,0
1037,10888.05,33582.54,11755.55,451.47
998,68.62,118.79,0,91.05
1414,39338.71,393063.36,33212.16,0
5744,3981.46,26526.03,3398.25,2078.31
39,46.04,304.96,47.95,451.63
567,16162.55,51522.96,11456.91,1392.71
5569,367686.74,1777.19,359507.99,0
1334,972.36,12203.32,1439.78,202.85
107,5854.17,26416.33,8310.26,2328.62
2687,1649.66,3208.1,1035.46,0
1237,14590.25,72017.78,13322.04,832.83
1251,23980.41,127337.02,13711.16,1818.14
3150,17695.36,65096.19,14461.46,731.86
0,149.45,290.06,0,0
4065,22177.74,78235.21,12266.08,188.96
5852,121888.48,838989.48,103635.68,94.2
1198,223.72,1041.93,0,45.41
253,1015.57,4046.21,813.63,111.91
80,698.72,3697.45,0,0
1227,1272.19,2478.7,159.66,0
7792,1956.39,1026.63,0,0
6331,5215.74,50361.47,3092.82,0
1998,12006.39,58511.5,6107.31,275.77
61,227.6,717.79,385.54,95.96
3807,9369.17,54059.75,3799.55,1145.48
37,2823.88,20742.58,5263.35,333.14
326,5531.7,5971.23,693.3,408.33
224,6676.87,19331.49,7432.09,2779.2
3868,6578.58,49715.23,524.11,482.3
6480,5856.89,19463.6,4590.87,46.85
633,2309.69,9502.21,618.39,0
5,22.74,0,0,0
246,167.04,545.73,0,71.15
0,46.88,157.53,0,0
1587,18009.32,77665.85,14329.34,1108.95
3919,19320.16,161752.02,27264.59,1038.45
2473,1622.99,11984.2,993.39,0
3150,6525.63,51014.05,4065.99,47.57
689,10621.5,77054.73,4366.72,1014.68
3972,31497.72,241868.27,17582.16,4742.83
7,8747.54,382480.96,0,5426.99
6017,57269.11,370988.3,32544.92,325.07
3564,1327.91,2127.02,0,427.11
68,3192.24,14074.45,3581.61,1772.48
5182,16201.54,107773.33,12862.86,1530.53
3607,2753.6,14725.01,1976.63,232.12
151,253.53,2316.34,0,505.43
10,126.35,330.82,0,231.66
404,591.1,4029.27,0,362.16
17,1539.45,20252.23,3061.21,237.16
4978,1209.41,9132.05,453.68,71.9
51,479.93,1977.35,331.44,192.79
4659,5716.29,20950.86,4395.98,298.28
1563,19583.99,136565.45,12279.69,4755.87
6575,3397.37,7860.62,2704.54,24.07
2317,1900.74,2199.68,387.96,388.26
4050,12177.71,456155.4,1166.21,736.42
638,422.98,4952.05,532.25,3383.75
1037,341.98,1462.87,409.36,136.37
2422,11664.37,177356.23,3204.94,464.69
5764,975.45,2698.11,1028.65,80.89
1215,32477.51,345991.16,8316.32,0
2546,921.15,2346.27,771.69,0
888,5118.23,20729.18,3948.61,55.68
613,739.01,2044.68,45.39,123.99
178,46.34,73.47,0,0
5238,115.53,1941.74,265.38,69.73
10,382.02,5156.62,0,752.6
3968,142.92,529.2,0,47.77
7276,152585.22,2115316.74,73043.98,0
2196,7457,14644.75,7085.87,618.55
6772,2497.8,6828.36,528.87,1065.75
633,2072.99,7945.03,799.72,0
961,64087.85,269524.63,54994.17,5934.62
1030,4068.58,11008.2,3044.3,0
2468,332.58,5775.81,0,382.37
5051,49476.53,395094.61,25847.57,2385.02
4900,73372.61,632240.6,91134.44,1343.32
1241,5187.79,5624.57,5997.92,46.17
4092,7667.03,36428.88,8724.28,415.5
56,112.61,362.57,68.32,22.17
1519,21025.6,282042.19,22013.62,1540.12
5581,43369.68,181257.46,35167.31,2575.09
1008,7222.74,21158,5212.29,436.26
2025,1045.21,8144.27,173.91,23.1
5005,2067.7,9209.35,559.71,639.03
3084,3569.63,63974.1,665.48,81.52
129,7954.31,108809.83,4373.81,3751.1
4479,11275.8,40291.1,12176.61,156.13
348,520.35,4298.33,473.44,246.4
1456,300.41,1629.27,352.97,0
6329,540060.63,6109686.52,435360.89,4596.63
1475,1584.04,15696.53,916.38,211.2
51,266.97,12265.71,0,0
2863,965546.94,5526971.35,707188.4,94.99
1334,5324.31,20750.2,6656.55,444.38
784,2362.2,8485.22,406.02,47.16
6991,51568.57,272680.25,39745.4,977.92
6983,4553.04,9465.71,2892.46,164.8
1862,24713.71,100267.71,15354.82,0
3257,3879.53,17866.51,1521.58,81.2
1711,179195.52,614370.17,152085.66,3629.25
333,1921.37,7901.36,1457.31,0
110,7286.37,31323.23,645.01,782.86
